ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
485	3	9233	0.579323	12	0.263591	2.53171	549058.202	9798055.005	84.722298
486	3	9234	0.572956	12	0.25783	2.476251	549064.426	9798038.976	83.473602
487	3	9235	0.57614	16	0.260703	3.193308	549071.32	9798031.127	84.018097
488	3	9237	0.588872	12	0.272353	2.616053	549115.137	9798014.315	83.1073
489	3	9241	0.636618	13	0.318308	3.272679	549072.867	9797990.45	85.576599
490	3	9248	0.487013	11	0.186282	1.660995	549099.329	9797952.088	86.197403
491	3	9249	1.059969	10	0.882422	7.284513	549106.666	9797939.264	87.910797
492	3	9251	0.572956	12	0.25783	2.476251	549109.317	9797863.879	90.010498
493	3	9252	0.458365	12	0.165011	1.58321	549109.089	9797840.446	90.219299
494	3	9253	0.541126	12	0.229978	2.208186	549091.738	9797840.781	90.219299
495	3	9254	0.474281	8	0.176669	1.203331	549108.859	9797813.033	89.628998
496	3	9256	0.697097	16	0.38166	4.678906	549083.609	9797802.317	90.227501
497	3	9260	0.652534	12	0.334423	3.213746	549074.257	9797761.864	89.897202
498	3	9266	0.493379	12	0.191184	1.834935	549091.916	9797659.173	88.7164
499	3	9267	0.954927	16	0.716194	8.792525	549091.915	9797656.078	88.7164
500	3	9268	0.738477	12	0.428316	4.118334	549104.817	9797654.97	88.7164
501	3	9270	0.585689	12	0.269416	2.587785	549076.227	9797630.659	88.730103
502	3	9271	0.579323	11	0.263591	2.352164	549041.857	9797621.714	89.078102
503	3	9273	0.461548	12	0.167311	1.605325	549058.215	9797657.966	89.5224
504	3	9274	0.471098	10	0.174306	1.433675	549059.556	9797681.62	89.7948
505	3	9275	0.52521	12	0.216649	2.079924	549052.215	9797681.511	89.7948
506	3	9280	0.493379	13	0.191184	1.963399	549033.215	9797757.563	90.306602
507	3	9281	0.557041	13	0.243705	2.50414	549036.33	9797763.31	90.689796
508	3	9285	0.627069	10	0.308831	2.543423	549059.515	9797967.793	88.690697
509	3	9287	0.986758	14	0.764736	8.387494	549028.167	9798036.996	86.656197
510	3	9291	0.471098	11	0.174306	1.553975	549044.78	9798202.904	77.608902
511	3	9293	0.837153	12	0.550427	5.295441	549023.441	9798265.582	75.5009
512	3	9294	0.827604	13	0.537941	5.537361	549044.907	9798265.687	74.855698
513	3	9298	0.662083	14	0.344282	3.769256	549054.926	9798305.92	73.149597
514	3	9299	0.493379	10	0.191184	1.572827	549055.927	9798305.146	73.149597
515	3	9300	0.579323	12	0.263591	2.53171	549018.894	9798322.177	71.315002
516	3	9301	0.636618	12	0.318308	3.058549	549022.451	9798312.56	73.565201
517	3	9302	0.477464	10	0.179048	1.472774	549017.903	9798359.98	69.206398
518	3	9305	0.579323	13	0.263591	2.708955	549004.822	9798536.396	72.111397
519	3	9306	0.490196	12	0.188725	1.811282	548968.242	9798585.482	75.986702
520	3	9311	0.487013	12	0.186282	1.787783	548994.576	9798481.574	67.595001
521	3	9312	1.018589	17	0.814869	10.533088	548981.673	9798476.161	67.595001
